"72","ART-400","Agile Release Train  400 (ST100)","PI-2005","36","42","60","78","15","35","266"
"78","ART-401","Agile Release Train  401 (ST100)","PI-2005","49","70","49","19","79","13","279"
"84","ART-402","Agile Release Train  402 (ST100)","PI-2008","61","63","27","78","64","37","330"
"90","ART-403","Agile Release Train  403 (ST100)","PI-2011","16","44","29","17","74","74","254"
"96","ART-404","Agile Release Train  404 (ST100)","PI-2012","63","57","65","46","62","31","324"
"102","ART-405","Agile Release Train  405 (ST100) XYZ","PI-2102","54","79","57","48","22","41","301"
"108","ART-500","Agile Release Train  500 (ST200)","PI-1902","54","72","44","72","44","29","315"
"114","ART-501","Agile Release Train  501 (ST200)","PI-1902","11","72","53","14","70","57","277"
"120","ART-502","Agile Release Train  502 (ST200)","PI-1905","28","27","68","12","79","39","253"
"126","ART-503","Agile Release Train  503 (ST200)","PI-1905","63","34","26","77","66","35","301"
"132","ART-504","Agile Release Train  504 (ST200)","PI-1905","18","54","25","72","57","63","289"
"138","ART-600","Agile Release Train  600 (ST300)","PI-1908","51","74","20","74","20","29","268"
"144","ART-601","Agile Release Train  601 (ST300)","PI-1911","16","25","13","60","11","67","192"
"150","ART-602","Agile Release Train  602 (ST300)","PI-1911","68","34","21","34","18","61","236"
"156","AT-800","800 Agile Team","PI-2002","42","78","49","14","11","24","218"
"162","AT-801","801 Agile Team","PI-2002","62","66","16","36","53","31","264"
"168","AT-802","802 Agile Team","PI-2005","14","19","17","69","73","65","257"
"174","AT-803","803 Agile Team","PI-2005","35","19","65","23","29","65","236"
"180","AT-804","804 Agile Team","PI-2005","39","67","54","70","49","74","353"
"186","AT-805","805 Agile Team","PI-2008","69","77","16","28","11","28","229"
"192","AT-806","806 Agile Team","PI-2011","67","71","43","24","47","75","327"
"198","AT-807","807 Agile Team","PI-2012","17","16","77","50","77","13","250"
"204","AT-808","808 Agile Team","PI-2102","55","60","39","39","38","72","303"
"210","AT-809","809 Agile Team","PI-1902","27","26","57","60","32","10","212"
"216","AT-810","810 Agile Team","PI-1902","43","51","77","21","16","18","226"
"222","AT-abc1","Agile Team 1000 1","PI-1905","33","30","75","52","54","17","261"
"228","AT-abc10","Agile Team 1000 10","PI-1905","42","74","72","68","67","44","367"
"234","AT-abc2","Agile Team 1000 2","PI-1905","49","69","32","63","33","59","305"
"240","AT-abc3","Agile Team 1000 3","PI-1908","32","32","60","65","55","78","322"
"246","AT-abc4","Agile Team 1000 4","PI-1911","51","17","74","58","18","79","297"
"252","AT-abc5","Agile Team 1000 5","PI-1911","69","20","26","36","55","57","263"
"258","AT-abc6","Agile Team 1000 6","PI-2002","13","50","39","66","65","54","287"
"264","AT-abc7","Agile Team 1000 7","PI-2002","39","43","74","22","66","20","264"
"270","AT-abc8","Agile Team 1000 8","PI-2005","14","32","42","31","69","60","248"
"276","AT-abc9","Agile Team 1000 9","PI-2005","64","16","47","64","74","42","307"
"282","ST-100","Solution Train 100","PI-2005","55","23","35","20","33","78","244"
"288","ST-200","Solution Train 200","PI-2008","26","37","79","16","41","72","271"
"294","ST-300","Solution Train 300","PI-2011","52","19","56","39","13","34","213"
